ilad;ilcead;mahallead;tha_ihdas_adano;tha_ihdas_parselno;mukerrer_adano;mukerrer_parselno;kesisen_alan_m2;kad_basvuruno;kad_basvuru_olusturmatarihi;kad_fenkayitno;kad_fenkayittarih;tescilyevmiyeno;tesciltarih;olusanparselid;tha_geom;mukerrer_parsel_durum;mukerrer_parsel_onaydurum;mukerrer_parsel_geom
ADIYAMAN;GERGER;MERKEZ;208;3;258;1;843.50;11917982;2026-06-04 11:59:04.000;149;2026-06-04 11:59:10.000;860;2026-06-05 15:29:12.000;752004394;POLYGON ((38.616062729662 38.0299126739008, 38.6164187700589 38.0301916593134, 38.6164178196168 38.0301936704784, 38.6160927277362 38.0302096336909, 38.6158178840043 38.0299928031064, 38.616062729662 38.0299126739008));3;1;POLYGON ((38.616062729662 38.0299126739008, 38.6164187700589 38.0301916593134, 38.6164178196168 38.0301936704784, 38.6160927277362 38.0302096336909, 38.6158178840043 38.0299928031064, 38.616062729662 38.0299126739008))
KONYA;MERAM;DERE;48234;2;48234;1;2320.46;11976330;2026-06-18 09:45:34.000;2692;2026-06-18 10:08:49.000;32983;2026-06-19 14:33:11.000;752397281;POLYGON ((32.2358585609264 37.7543157127169, 32.2358241501099 37.7543322107745, 32.2357877726926 37.7543457911842, 32.2357498197446 37.7543563079517, 32.2344661712992 37.7546537031302, 32.2344450422479 37.7546074400094, 32.2345988161894 37.75436742062, 32.2352356907619 37.7542473988327, 32.2353582434664 37.7542936133182, 32.2354614072664 37.7543203283649, 32.2355737635629 37.7543242896426, 32.2358803246363 37.7543026587188, 32.2358585609264 37.7543157127169));3;1;POLYGON ((32.234320038434 37.754687558094, 32.234501256194 37.75440692971, 32.234549907615 37.754376637495, 32.235332674429 37.754229121501, 32.235413759358 37.754178633882, 32.235643781053 37.753822415963, 32.235720810528 37.753762836095, 32.236026061875 37.753646482394, 32.236093294976 37.753670183881, 32.236101341897 37.753691790681, 32.236024798402 37.754105544112, 32.236016902683 37.754136838507, 32.236004968233 37.754167315571, 32.235989123346 37.754196647666, 32.235969538354 37.754224519462, 32.235946423799 37.75425063133, 32.235920028166 37.754274702558, 32.235890635215 37.754296474372, 32.235858560926 37.754315712717, 32.23582415011 37.754332210775, 32.235787772693 37.754345791184, 32.235749819745 37.754356307952, 32.234320038434 37.754687558094))
KONYA;YALIHÜYÜK;AŞAĞIMAHALLE;320;1;318;2/P1;264.46;11976408;2026-06-18 09:52:21.000;31;2026-06-18 10:05:49.000;363;2026-06-19 14:05:18.000;752399748;POLYGON ((32.0819895571979 37.2908958031613, 32.0817718892029 37.2909846307204, 32.0817596050722 37.2909649941235, 32.0817869799454 37.290850595721, 32.0819577266732 37.2907840340652, 32.082004086775 37.2908599487894, 32.0819895571979 37.2908958031613));3;1;POLYGON ((32.081750459217 37.290950374161, 32.081771386508 37.290843047593, 32.081951773598 37.290772638212, 32.082005427957 37.290856639176, 32.081989557198 37.29089580316, 32.081771889203 37.290984630719, 32.081750459217 37.290950374161))
KONYA;YALIHÜYÜK;AŞAĞIMAHALLE;315;3;315;1;1567.02;11976418;2026-06-18 09:53:54.000;32;2026-06-18 10:05:55.000;365;2026-06-19 14:38:43.000;752399923;POLYGON ((32.0854789819909 37.2956149518653, 32.0854573845345 37.295463675458, 32.0855067931491 37.2954124608461, 32.086047528121 37.2953498444121, 32.0860954848833 37.2953831887675, 32.0860917834369 37.2956028338803, 32.0860517931149 37.2956351385874, 32.0855229139979 37.2956455088593, 32.0854789819909 37.2956149518653));3;1;POLYGON ((32.086064495351 37.29520994323, 32.086097594874 37.295257980904, 32.086091783437 37.295602833879, 32.086051793115 37.295635138586, 32.085522913998 37.295645508858, 32.085478981991 37.295614951864, 32.085379071518 37.294915140173, 32.085420725254 37.294893963522, 32.086064495351 37.29520994323))
KONYA;BEYŞEHİR;DUMANLI;155;179;223;1;3828.09;11976419;2026-06-18 09:54:13.000;1153;2026-06-18 09:54:30.000;16433;2026-06-19 12:05:39.000;752397132;POLYGON ((31.3648527258569 37.5164064695416, 31.3648595210416 37.5164002775118, 31.3648773884896 37.5163818486905, 31.3648885903721 37.5163682715434, 31.3648942748341 37.516360595259, 31.3649044258226 37.516345145158, 31.3649118915653 37.5163318451686, 31.3649173686953 37.5163205661977, 31.3649250425683 37.5163012689978, 31.3649297733336 37.5162856534339, 31.3649335559228 37.5162682964066, 31.3649352141091 37.5162569530091, 31.3649361709414 37.5162466808597, 31.3649366455426 37.5162339020566, 31.364936380648 37.516222080477, 31.364935098599 37.5162073306633, 31.3649332625202 37.5161953000881, 31.3649286676803 37.5161755322446, 31.3649203566855 37.5161515856709, 31.3649067402603 37.5161240100941, 31.3648709072514 37.5160620795195, 31.3648206243961 37.5159751749222, 31.3647345088813 37.5158263396771, 31.3647214291073 37.5158069371141, 31.3647069709005 37.5157904371486, 31.3646944084019 37.5157787384987, 31.3646773083555 37.5157655772634, 31.364661726037 37.5157557036536, 31.3646477164818 37.515748216394, 31.3646221582141 37.5157373583899, 31.3645983222236 37.5157299984714, 31.3645822229843 37.5157263578752, 31.3645648105791 37.5157235374854, 31.3645452899658 37.5157216914765, 31.3645270079439 37.5157211878657, 31.3645169053989 37.5157214131243, 31.3645131225047 37.5157216257069, 31.3645077610541 37.5157219269975, 31.3644935883947 37.5157233119749, 31.3644531652561 37.5157313768364, 31.3644948713025 37.515719689581, 31.3648641611844 37.5156165208607, 31.3656924269203 37.5163485034126, 31.3656013394039 37.5163615560653, 31.3655178799096 37.5163712106076, 31.3653675129493 37.5163918918556, 31.3651044065968 37.516421800958, 31.3649749004462 37.5164472074492, 31.3648670808959 37.5164667710687, 31.3648527680791 37.5164688219645, 31.3647608974464 37.5164860018108, 31.3647563793388 37.5164823656551, 31.3648389059573 37.5164179401834, 31.3648527258569 37.5164064695416));3;1;POLYGON ((31.365692426905 37.516348503415, 31.364852768063 37.516468821967, 31.364760897431 37.516486001813, 31.36468511306 37.516550997567, 31.364657924836 37.516626180947, 31.364644024354 37.516717687539, 31.364740760232 37.516742089381, 31.364826405647 37.516772622905, 31.364946084598 37.516794907188, 31.365102717981 37.51679245008, 31.365390706525 37.516726094758, 31.365478600266 37.516686402475, 31.365650112625 37.516604286287, 31.365790503677 37.516458080152, 31.365894017423 37.516443247761, 31.365658860858 37.516706031259, 31.365578753406 37.516774429741, 31.365484315418 37.516821302399, 31.365371140145 37.516850955085, 31.364884981186 37.516862766159, 31.364640546885 37.516854106855, 31.364496449769 37.516844432355, 31.364356197853 37.516826016664, 31.36434722888 37.516801735879, 31.36484181598 37.51641563252, 31.364911908501 37.516332410212, 31.364936798681 37.516224559252, 31.36490844573 37.516126921793, 31.364734508868 37.515826303775, 31.364680784514 37.51576799986, 31.364602676138 37.515731125705, 31.364494871287 37.515719689583, 31.364864161169 37.515616520863, 31.365692426905 37.516348503415))
KONYA;YALIHÜYÜK;AŞAĞIMAHALLE;315;2;315;1;1074.07;11976430;2026-06-18 09:55:10.000;33;2026-06-18 10:06:00.000;364;2026-06-19 14:24:42.000;752399830;POLYGON ((32.0854207252539 37.2948939635234, 32.0858469835736 37.2951031825909, 32.0858488433886 37.2951729352649, 32.0857942413447 37.2952244347464, 32.0854528979867 37.2952639615094, 32.0854266719129 37.2952485517969, 32.0853790715179 37.2949151401743, 32.0854207252539 37.2948939635234));3;1;POLYGON ((32.086064495351 37.29520994323, 32.086097594874 37.295257980904, 32.086091783437 37.295602833879, 32.086051793115 37.295635138586, 32.085522913998 37.295645508858, 32.085478981991 37.295614951864, 32.085379071518 37.294915140173, 32.085420725254 37.294893963522, 32.086064495351 37.29520994323))
TUNCELİ;MERKEZ;ESENTEPE;2218;10;2218;9;1288.20;11979403;2026-06-18 15:10:43.000;666;2026-06-18 15:13:24.000;3405;2026-06-19 10:36:12.000;752366637;POLYGON ((39.5594895726461 39.1025700164419, 39.5594729622235 39.1026177986664, 39.5594669350966 39.1027948286777, 39.5596624645945 39.1028243143677, 39.5597416197889 39.1028381394335, 39.5595255335345 39.1030754113448, 39.5595068714088 39.1030583001775, 39.5594199412547 39.1030406248579, 39.5592229198595 39.1030005646518, 39.5592376642483 39.1027471407761, 39.5593217419766 39.1027813166128, 39.5593936178052 39.1026752236509, 39.5592794627071 39.1026280579674, 39.5593166548738 39.1025730754199, 39.5593671720267 39.1025558663335, 39.5594895726461 39.1025700164419));3;1;POLYGON ((39.559489572646 39.102570016442, 39.559472962224 39.102617798666, 39.559466935097 39.102794828678, 39.559662464595 39.102824314368, 39.559741619789 39.102838139434, 39.559525533535 39.103075411345, 39.559506871409 39.103058300178, 39.559419941255 39.103040624858, 39.55922291986 39.103000564652, 39.559237664248 39.102747140776, 39.559321741977 39.102781316613, 39.559393617805 39.102675223651, 39.559279462707 39.102628057967, 39.559316654874 39.10257307542, 39.559367172027 39.102555866334, 39.559489572646 39.102570016442))
TUNCELİ;MERKEZ;ESENTEPE;2219;7;2219;6;4293.70;11979421;2026-06-18 15:11:42.000;667;2026-06-18 15:13:30.000;3404;2026-06-19 10:24:18.000;752366776;POLYGON ((39.5607446405424 39.10322634773, 39.5611253141832 39.1031695671011, 39.5614423280769 39.1033396443453, 39.5616798406432 39.103509149456, 39.5618825216833 39.1036537953875, 39.561975445335 39.1037413962294, 39.5619613887779 39.1037620637766, 39.5618855240377 39.1037564615257, 39.5618673166084 39.1037548511973, 39.5618491982803 39.1037527162335, 39.5618311939461 39.1037500595675, 39.5618133283416 39.1037468848493, 39.5617956260121 39.1037431964405, 39.5617781112788 39.1037389994087, 39.5617608082049 39.1037342995202, 39.5617437405628 39.1037291032318, 39.5616112432083 39.1036865420999, 39.5615915265709 39.1036808294557, 39.5615713451207 39.1036762060553, 39.5615507978445 39.1036726945756, 39.5615299855229 39.1036703122397, 39.5615090102369 39.1036690707326, 39.5614879748665 39.1036689761436, 39.5614669825866 39.1036700289368, 39.5614461363606 39.1036722239484, 39.5613721983227 39.1036820744586, 39.5613528769683 39.1036853392453, 39.5613340010987 39.1036899206371, 39.5613157181882 39.10369578284, 39.5612981710787 39.1037028800538, 39.5612814968634 39.1037111568289, 39.5612658258158 39.1037205485, 39.5612512803719 39.1037309816915, 39.5612156656476 39.1037632775297, 39.5607605110473 39.1037229486104, 39.5607522548408 39.1035721839754, 39.5607510014559 39.1034754259904, 39.560750900498 39.1034676322936, 39.5607471549642 39.1033232641808, 39.5607455947778 39.1032631280363, 39.5607446405424 39.10322634773));3;1;POLYGON ((39.560744640542 39.10322634773, 39.561125314183 39.103169567101, 39.561442328077 39.103339644345, 39.561679840643 39.103509149456, 39.561882521683 39.103653795388, 39.561975445335 39.103741396229, 39.561961388778 39.103762063777, 39.561885524038 39.103756461526, 39.561867316608 39.103754851197, 39.56184919828 39.103752716234, 39.561831193946 39.103750059568, 39.561813328342 39.103746884849, 39.561795626012 39.103743196441, 39.561778111279 39.103738999409, 39.561760808205 39.10373429952, 39.561743740563 39.103729103232, 39.561611243208 39.1036865421, 39.561591526571 39.103680829456, 39.561571345121 39.103676206055, 39.561550797845 39.103672694576, 39.561529985523 39.10367031224, 39.561509010237 39.103669070733, 39.561487974867 39.103668976144, 39.561466982587 39.103670028937, 39.561446136361 39.103672223948, 39.561372198323 39.103682074459, 39.561352876968 39.103685339245, 39.561334001099 39.103689920637, 39.561315718188 39.10369578284, 39.561298171079 39.103702880054, 39.561281496863 39.103711156829, 39.561265825816 39.1037205485, 39.561251280372 39.103730981692, 39.561215665648 39.10376327753, 39.560760511047 39.10372294861, 39.560752254841 39.103572183975, 39.560751001456 39.10347542599, 39.560750900498 39.103467632294, 39.560747154964 39.103323264181, 39.560745594778 39.103263128036, 39.560744640542 39.10322634773))
TUNCELİ;MERKEZ;ESENTEPE;2220;3;2220;2;1165.88;11979438;2026-06-18 15:12:43.000;668;2026-06-18 15:13:36.000;3403;2026-06-19 09:52:39.000;752367006;POLYGON ((39.5613001375528 39.103782742392, 39.5613086309762 39.1037754645363, 39.5613179164732 39.1037687998436, 39.5613279214146 39.1037628004436, 39.5613385675442 39.1037575132621, 39.5613497715906 39.1037529796541, 39.5613614459184 39.1037492350801, 39.5613734992141 39.1037463088294, 39.5613858371998 39.1037442237904, 39.5614597753005 39.1037343732712, 39.5614750051917 39.1037327696337, 39.5614903417876 39.1037320004812, 39.5615057098647 39.1037320695861, 39.5615210340451 39.1037329766096, 39.5615362391662 39.1037347171028, 39.5615512506494 39.1037372825289, 39.5615659948656 39.1037406603048, 39.5615803994969 39.1037448338633, 39.5617128969429 39.1037873950292, 39.5617327583509 39.1037934418874, 39.5617528937287 39.1037989110914, 39.5617732754126 39.1038037951268, 39.5617938754005 39.1038080872839, 39.5618146653901 39.1038117816653, 39.5618356168182 39.1038148731957, 39.5618381618274 39.1038152062135, 39.5618480815225 39.1038164172006, 39.5618580268321 39.1038174931134, 39.5618679947268 39.1038184336239, 39.5618702035205 39.103818611758, 39.5618487757987 39.1040117389052, 39.5614836238574 39.1039184894, 39.5614631517091 39.1039140694685, 39.5614422418907 39.1039111470434, 39.5614210744315 39.1039097472862, 39.5613998315792 39.1039098822484, 39.5613786962305 39.1039115507682, 39.5613578503566 39.1039147384799, 39.5613374734362 39.103919417938, 39.5613177409109 39.1039255488532, 39.5611137845471 39.1039976337582, 39.5610932191278 39.1039766203267, 39.5613001375528 39.103782742392));3;1;POLYGON ((39.561300137553 39.103782742392, 39.561308630976 39.103775464536, 39.561317916473 39.103768799844, 39.561327921415 39.103762800444, 39.561338567544 39.103757513262, 39.561349771591 39.103752979654, 39.561361445918 39.10374923508, 39.561373499214 39.103746308829, 39.5613858372 39.10374422379, 39.561459775301 39.103734373271, 39.561475005192 39.103732769634, 39.561490341788 39.103732000481, 39.561505709865 39.103732069586, 39.561521034045 39.10373297661, 39.561536239166 39.103734717103, 39.561551250649 39.103737282529, 39.561565994866 39.103740660305, 39.561580399497 39.103744833863, 39.561712896943 39.103787395029, 39.561732758351 39.103793441887, 39.561752893729 39.103798911091, 39.561773275413 39.103803795127, 39.561793875401 39.103808087284, 39.56181466539 39.103811781665, 39.561835616818 39.103814873196, 39.5618567009 39.103817357627, 39.561877888668 39.103819231547, 39.561927743873 39.103822913123, 39.561905188865 39.10402620191, 39.561900498754 39.104024951605, 39.561898174204 39.104024353757, 39.561483623857 39.1039184894, 39.561463151709 39.103914069469, 39.561442241891 39.103911147043, 39.561421074432 39.103909747286, 39.561399831579 39.103909882248, 39.561378696231 39.103911550768, 39.561357850357 39.10391473848, 39.561337473436 39.103919417938, 39.561317740911 39.103925548853, 39.561113784547 39.103997633758, 39.561093219128 39.103976620327, 39.561300137553 39.103782742392))
ÇANAKKALE;ÇAN;KARŞIYAKA;553;280;49;Y_ALAN;393.52;11979774;2026-06-18 15:45:38.000;745;2026-06-18 15:45:47.000;5820;2026-06-19 12:05:36.000;752366916;POLYGON ((27.0616931691 40.0297398347218, 27.061936446676 40.0298331103897, 27.061741025584 40.0299395280498, 27.0615857655071 40.030003338151, 27.0616316758 40.0298453808827, 27.0616931691 40.0297398347218));3;1;POLYGON ((27.061585767605 40.030003337288, 27.0616316758 40.029845380882, 27.0616931691 40.029739834721, 27.061936446676 40.029833110389, 27.061741025583 40.029939526977, 27.061585767605 40.030003337288))
ÇANAKKALE;ÇAN;KARŞIYAKA;874;1;49;PARK;555.97;11979996;2026-06-18 16:05:48.000;746;2026-06-18 16:06:05.000;5821;2026-06-19 12:15:13.000;752367206;POLYGON ((27.0618353915725 40.0294953203096, 27.0621050491096 40.0296440268763, 27.062104379957 40.0296664475568, 27.062016290913 40.0297607266968, 27.061975217822 40.0297775333767, 27.061726702081 40.0296821847638, 27.0618353915725 40.0294953203096));3;1;POLYGON ((27.06172670208 40.029682183691, 27.06183776066 40.029491247265, 27.062105121235 40.029641610235, 27.062104379957 40.029666447556, 27.062016290913 40.029760726696, 27.061975217822 40.029777533376, 27.06172670208 40.029682183691))
ELAZIĞ;MERKEZ;BİZMİŞEN;2669;21;252;1;5100.44;11986838;2026-06-20 14:53:07.000;2785;2026-06-20 14:53:46.000;40650;2026-06-20 18:36:23.000;752429233;POLYGON ((39.1394930758189 38.6317324049313, 39.138856238188 38.6317238378513, 39.1387606067316 38.6317243106759, 39.1386651087441 38.6317283005657, 39.1385699543371 38.6317357987425, 39.1384753528663 38.631746788709, 39.1383815124712 38.6317612462855, 39.1383704206859 38.6317633832921, 39.1382886137751 38.6317791114373, 39.1381968932301 38.6318003893523, 39.1381145973341 38.6318228904547, 39.1381066113024 38.6318250688729, 39.1380178563383 38.6318530036534, 39.1379308690275 38.6318841723525, 39.1378458407601 38.6319185063933, 39.137762958617 38.6319559302347, 39.1376824049577 38.6319963615371, 39.1376043570198 38.6320397113439, 39.1373807118552 38.6321702123443, 39.137304071952 38.63208646458, 39.1390338551291 38.6311874363558, 39.1395162562968 38.6316970151861, 39.1394930758189 38.6317324049313));3;1;POLYGON ((39.137285103315 38.632096321917, 39.139392825837 38.631000859765, 39.142306390871 38.629307382808, 39.144372988649 38.629596071978, 39.144120950936 38.630706027337, 39.145364713239 38.63087979053, 39.146901187796 38.631094431433, 39.146916427164 38.631133598475, 39.144079595562 38.633282276293, 39.144057228802 38.63329653697, 39.144032099025 38.633307467967, 39.144004894778 38.633314798188, 39.143976419455 38.633318256391, 39.143947706868 38.633317931388, 39.143919445746 38.633313642165, 39.143892669902 38.633305477533, 39.143867954475 38.633293887203, 39.143846333636 38.633279140153, 39.143258166516 38.632801340174, 39.143219866484 38.63277319104, 39.143178241846 38.632748018706, 39.14313375288 38.63272627302, 39.143086744122 38.632707953558, 39.143037560824 38.632693420228, 39.142986892057 38.632682672184, 39.142935082711 38.632675889171, 39.142882707189 38.632673160567, 39.142487278762 38.63266751715, 39.14242367832 38.632621922433, 39.142416920812 38.632573195677, 39.142404404251 38.632516008114, 39.142387409959 38.632459456581, 39.142344939602 38.63235483164, 39.142315662233 38.632300997532, 39.142279950696 38.632245729911, 39.142239649125 38.632192359604, 39.142194987753 38.632141156577, 39.142146081962 38.632092390935, 39.142093276649 38.632046242419, 39.142036687017 38.632002891051, 39.14197654329 38.631962606795, 39.141913190001 38.631925389229, 39.141846972392 38.63189159826, 39.141777890637 38.631861323968, 39.141706519131 38.631834655734, 39.141633087733 38.631811683359, 39.141557826478 38.631792586729, 39.141481194736 38.631777365282, 39.141403422539 38.631766198906, 39.141324854233 38.631758997099, 39.14124813177 38.631756026919, 39.138856187483 38.63172384777, 39.138760637182 38.631724321462, 39.138665093647 38.631728308312, 39.138569901398 38.631735807911, 39.138475404958 38.631746819852, 39.138381489294 38.63176125419, 39.138288613774 38.631779110384, 39.138196893229 38.631800388299, 39.138106557339 38.631825087669, 39.138017835436 38.631853028058, 39.137930842356 38.631884209336, 39.137845807608 38.631918541153, 39.1377629607 38.631955933159, 39.137682416473 38.631996385223, 39.137604404265 38.632039716916, 39.137361282437 38.632181577289, 39.137285103315 38.632096321917))
UŞAK;SİVASLI;PINARBAŞI/FATİH;366;70;366;62;136.02;11991969;2026-06-22 15:51:58.000;465;2026-06-22 15:52:09.000;5081;2026-06-23 16:09:22.000;752461472;POLYGON ((29.6917179887416 38.4860719140623, 29.6916504016366 38.4860719724463, 29.6916421475586 38.4860710375313, 29.6916344219436 38.4860684083653, 29.6916278163006 38.4860642426513, 29.6916230714276 38.4860591651043, 29.6916200871096 38.4860532701263, 29.6916191045206 38.4860465315903, 29.6916205416446 38.4860396625093, 29.6916686932526 38.4859187479633, 29.6916733416596 38.4859107022953, 29.6916802539136 38.4859038555003, 29.6916884904446 38.4858987882343, 29.6917012841806 38.4858945621102, 29.6917111697376 38.4858934919643, 29.6917225446466 38.4858943633233, 29.6917316878516 38.4858963741143, 29.6917370683129 38.4858979004594, 29.6918777855889 38.4860551972173, 29.6918653783596 38.4860726622212, 29.6917179887416 38.4860719140623));3;1;POLYGON ((29.691731687854 38.485896373063, 29.691717988744 38.486071913011, 29.691650401639 38.486071971395, 29.691642147561 38.48607103648, 29.691634421946 38.486068407314, 29.691627816303 38.4860642416, 29.69162307143 38.486059164053, 29.691620087112 38.486053269075, 29.691619104523 38.486046530539, 29.691620541647 38.486039661458, 29.691668693255 38.485918746912, 29.691673341662 38.485910701244, 29.691680253916 38.485903854449, 29.691688490447 38.485898787183, 29.691701284183 38.485894561059, 29.69171116974 38.485893490913, 29.691722544649 38.485894362272, 29.691731687854 38.485896373063))
UŞAK;SİVASLI;PINARBAŞI/FATİH;442;1;367;126;163.31;11992853;2026-06-22 17:08:55.000;484;2026-06-22 17:14:01.000;5091;2026-06-23 16:24:49.000;752464295;POLYGON ((29.6955170938272 38.4873956780073, 29.6955114843224 38.4874056207491, 29.6955012143597 38.4874159271094, 29.6954859785735 38.4874227086308, 29.6954647113661 38.487422414799, 29.6954444237427 38.4874152870968, 29.6954339337219 38.4874023227619, 29.6954361899004 38.4873889739548, 29.6956337832144 38.4868307326756, 29.6957015930986 38.4866389220913, 29.6957073984756 38.4866291221353, 29.695717009693 38.4866213885239, 29.6957292448986 38.4866164520983, 29.695742585356 38.4866149124825, 29.6957614364299 38.4866165141021, 29.6957700705036 38.4866178018303, 29.695779639948 38.486623425143, 29.6957848621016 38.4866323250953, 29.6957842904156 38.4866405569523, 29.6957226932129 38.4868148158357, 29.6955170938272 38.4873956780073));3;1;POLYGON ((29.695784290418 38.486640555901, 29.695722678276 38.48681481851, 29.695633989421 38.48683069576, 29.695701593101 38.48663892104, 29.695707398478 38.486629121084, 29.695717009693 38.486621388523, 29.695729244901 38.486616451047, 29.695742852626 38.486614880586, 29.695756557992 38.486615785456, 29.695770070506 38.486617800779, 29.695779639948 38.486623425142, 29.695784862104 38.486632324044, 29.695784290418 38.486640555901))
NİĞDE;ALTUNHİSAR;KARAKAPI/YENİ;107;136;107;95;1527.21;12010994;2026-06-26 08:58:20.000;199;2026-06-26 08:58:28.000;3715;2026-06-29 10:59:09.000;752608602;POLYGON ((34.1581188349553 38.0441821126201, 34.1585103521393 38.0441967009601, 34.1586062179661 38.0441795307272, 34.1587192120863 38.0443366405301, 34.1586963204213 38.0443957589391, 34.1582364066113 38.0445756906481, 34.1582089061063 38.0444836363901, 34.1581687816013 38.0443887107421, 34.1581188349553 38.0441821126201));3;1;POLYGON ((34.158236406611 38.044575690647, 34.158208906106 38.044483636389, 34.158168781601 38.044388710741, 34.158118834955 38.044182112619, 34.158510352139 38.044196700959, 34.158606231947 38.044179528222, 34.158719212086 38.044336640529, 34.158696320421 38.044395758938, 34.158236406611 38.044575690647))
NİĞDE;MERKEZ;AKTAŞ/CUMHURİYET;281;397;281;B;741.08;12011155;2026-06-26 09:14:52.000;2820;2026-06-26 09:14:58.000;50366;2026-06-30 10:03:18.000;752610282;POLYGON ((34.7626394096515 38.0225892549556, 34.7625775355897 38.0229757751347, 34.7625705370996 38.0230195062411, 34.7625067254906 38.0230685883672, 34.7624973805284 38.0230696609939, 34.7622308755836 38.0231002807661, 34.7626394096515 38.0225892549556));3;1;POLYGON ((34.762639392222 38.022589254772, 34.7625705371 38.02301950624, 34.762506725491 38.023068588366, 34.762230842838 38.023100254531, 34.762639392222 38.022589254772))
NİĞDE;MERKEZ;FERTEK;680;2;678;1;1015.34;12011192;2026-06-26 09:18:59.000;2823;2026-06-26 09:19:05.000;50348;2026-06-30 09:26:22.000;752611019;POLYGON ((34.6160484728857 37.9704300651954, 34.6159943677326 37.9705750301322, 34.6159920170817 37.9705810873278, 34.6159895015547 37.9705871043583, 34.6159868228413 37.9705930770853, 34.6159839821853 37.9705990027357, 34.6159809809055 37.9706048785582, 34.6159778203954 37.9706107018246, 34.6159745021223 37.9706164698313, 34.615971028665 37.9706221781943, 34.6159318422762 37.970684842052, 34.6156258521442 37.9706170258319, 34.6156217394484 37.9706070025363, 34.6157282321449 37.9703216783255, 34.6160175400529 37.9703857972724, 34.6160484728857 37.9704300651954));3;1;POLYGON ((34.616017540054 37.97038579727, 34.616048472887 37.970430065193, 34.615985271212 37.970599402609, 34.615892501971 37.970747752041, 34.615801358915 37.970873852925, 34.615728799979 37.970867926119, 34.61550086739 37.970312418052, 34.615540171603 37.970279998263, 34.616017540054 37.97038579727))
NİĞDE;MERKEZ;FERTEK;679;2;679;1;1029.47;12011208;2026-06-26 09:20:15.000;2824;2026-06-26 09:20:20.000;50355;2026-06-30 09:41:23.000;752611190;POLYGON ((34.6151008394102 37.9693768893232, 34.6151072913788 37.9693657742762, 34.6151285118874 37.9693292169151, 34.6154191062163 37.9692360675274, 34.6155271535765 37.9694902792511, 34.6155170691244 37.9695253637893, 34.6152062864211 37.9696249843592, 34.6151008394102 37.9693768893232));3;1;POLYGON ((34.615403789436 37.969919472015, 34.615332659194 37.969922313388, 34.615100839411 37.969376889322, 34.615128511888 37.969329216913, 34.615576416648 37.969185641603, 34.615608505113 37.969207251377, 34.615403789436 37.969919472015))
TRABZON;VAKFIKEBİR;HÜRRİYET;1026;7;1026;6;516.47;12018718;2026-06-29 10:25:55.000;284;2026-06-29 10:42:44.000;5177;2026-06-30 13:42:08.000;752627994;POLYGON ((39.2774346234427 41.035404789816, 39.2774653377123 41.0354053654055, 39.2774958726839 41.0354079398462, 39.277526001897 41.0354124940451, 39.2775555019005 41.0354189942259, 39.2775841539095 41.0354273921807, 39.2776456103606 41.0354477502838, 39.27764110151 41.0354477778779, 39.277520014565 41.0354485186728, 39.276756921272 41.0356170237198, 39.276755247959 41.0355454841848, 39.277121391537 41.0354659409878, 39.2771973267461 41.0354465024948, 39.2773436792611 41.0354150246408, 39.2773735678098 41.0354096374095, 39.2774039576651 41.0354062173463, 39.2774346234427 41.035404789816));3;1;POLYGON ((39.276756921272 41.035617023719, 39.276755247959 41.035545484184, 39.277121391537 41.035465940987, 39.277496689582 41.035369869237, 39.277982029786 41.035373451506, 39.278002658329 41.035445565158, 39.27764110151 41.035447777877, 39.277520014565 41.035448518672, 39.276756921272 41.035617023719))
TRABZON;VAKFIKEBİR;HÜRRİYET;1026;8;1026;6;114.02;12018764;2026-06-29 10:30:05.000;285;2026-06-29 10:42:52.000;5178;2026-06-30 13:47:39.000;752628293;POLYGON ((39.2777120034027 41.0353714587094, 39.277982029786 41.0353734515068, 39.2780026583288 41.0354455651581, 39.2779369284089 41.0354459675087, 39.2777120034027 41.0353714587094));3;1;POLYGON ((39.276756921272 41.035617023719, 39.276755247959 41.035545484184, 39.277121391537 41.035465940987, 39.277496689582 41.035369869237, 39.277982029786 41.035373451506, 39.278002658329 41.035445565158, 39.27764110151 41.035447777877, 39.277520014565 41.035448518672, 39.276756921272 41.035617023719))
TEKİRDAĞ;ERGENE;SAĞLIK (ARAZİ);0;2051;0;159;372.28;12021577;2026-06-29 15:18:13.000;902;2026-06-29 15:18:20.000;9641;2026-07-01 15:10:18.000;752632873;POLYGON ((27.752590020108 41.1831885579356, 27.7522432344442 41.1828931328328, 27.7523225266046 41.1828469155732, 27.7530626205074 41.1824155290695, 27.7534084624894 41.1827205783299, 27.752590020108 41.1831885579356));3;1;POLYGON ((27.751115946442 41.184556991011, 27.75098051476 41.184452646563, 27.750689231677 41.184234527664, 27.753729964922 41.18248529468, 27.753875662631 41.18258374802, 27.754082151316 41.182739516411, 27.751115946442 41.184556991011))
